subregion,n
sutton,2
suwannee,10
swain,5
sweet grass,7
sweetwater,11
swift,11
swisher,4
switzerland,10
talbot,24
taliaferro,6
talladega,13
tallahatchie,17
tallapoosa,14
tama,20
taney,22
tangipahoa parish,21
taos,21
tarrant,105
tate,8
tattnall,8
taylor,80
tazewell,48
tehama,18
telfair,7
teller,9
tensas parish,6
terrebonne parish,14
terrell,10
terry,7
teton,23
texas,29
thayer,15
thomas,25
throckmorton,5
thurston,32
tift,10
tillamook,16
tillman,10
tioga,45
tippah,10
tippecanoe,25
tipton,22
tishomingo,7
titus,7
toa alta municipio,7
toa baja municipio,7
todd,40
tolland,27
tom green,18
tompkins,21
tooele,8
toole,12
toombs,4
torrance,10
towner,14
towns,3
traill,13
transylvania,12
traverse,11
travis,91
treasure,4
trego,8
trempealeau,15
treutlen,5
trigg,6
trimble,4
trinity,21
tripp,7
troup,8
trousdale,5
trujillo alto municipio,13
trumbull,33
tucker,11
tulare,48
tulsa,70
tunica,7
tuolumne,17
turner,20
tuscaloosa,37
tuscarawas,28
tuscola,23
twiggs,6
twin falls,10
tyler,21
tyrrell,3
uinta,7
uintah,10
ulster,69
umatilla,13
unicoi,6
union,208
union parish,10
upshur,27
upson,7
upton,3
utah,28
utuado municipio,3
uvalde,7
val verde,7
valdez-cordova census area,8
valencia,9
valley,26
van buren,58
van wert,14
van zandt,15
vance,9
vanderburgh,37
vega alta municipio,4
vega baja municipio,5
venango,23
ventura,54
vermilion,27
vermilion parish,12
vermillion,11
vernon,32
vernon parish,16
victoria,14
vieques municipio,1
vigo,23
vilas,13
villalba municipio,2
vinton,15
virginia beach city,22
volusia,49
wabash,26
wabasha,13
wabaunsee,16
wadena,7
wagoner,16
wahkiakum,6
wake,61
wakulla,5
waldo,20
walker,50
walla walla,9
wallace,4
waller,11
wallowa,6
walsh,17
walthall,8
walton,28
walworth,27
wapello,13
ward,31
ware,10
warren,217
warrick,12
wasatch,6
wasco,7
waseca,14
washakie,2
washburn,12
washington,591
washington parish,6
washita,16
washoe,38
washtenaw,32
watauga,11
watonwan,12
waukesha,39
waupaca,21
waushara,19
wayne,327
waynesboro city,2
weakley,13
webb,10
weber,17
webster,79
webster parish,13
weld,48
wells,33
west baton rouge parish,7
west carroll parish,7
west feliciana parish,6
westchester,86
westmoreland,108
weston,5
wetzel,17
wexford,12
wharton,14
whatcom,21
wheatland,5
wheeler,21
white,66
white pine,6
whiteside,18
whitfield,10
whitley,21
whitman,24
wibaux,1
wichita,15
wicomico,19
wilbarger,6
